Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,1
2/9/20,1,0,1
2/10/20,1,0,1
2/11/20,1,0,1
2/12/20,1,0,1
2/13/20,1,0,1
2/14/20,1,0,1
2/15/20,1,0,1
2/16/20,1,0,1
2/17/20,1,0,1
2/18/20,1,0,1
2/19/20,1,0,1
2/20/20,1,0,1
2/21/20,1,0,1
2/22/20,1,0,1
2/23/20,1,0,1
2/24/20,1,0,1
2/25/20,1,0,1
2/26/20,1,0,1
2/27/20,1,0,1
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,1,0,1
3/2/20,1,0,1
3/3/20,1,0,1
3/4/20,1,0,1
3/5/20,1,0,1
3/6/20,1,0,1
3/7/20,1,0,1
3/8/20,1,0,1
3/9/20,1,0,1
3/10/20,1,0,1
3/11/20,2,0,1
3/12/20,2,0,1
3/13/20,6,0,1
3/14/20,10,0,1
3/15/20,18,0,1
3/16/20,28,0,1
3/17/20,44,0,1
3/18/20,51,0,1
3/19/20,60,0,3
3/20/20,73,0,3
3/21/20,77,0,1
3/22/20,82,0,3
3/23/20,97,0,3
3/24/20,102,0,2
3/25/20,102,0,3
3/26/20,106,0,7
3/27/20,106,0,7
3/28/20,113,1,9
3/29/20,117,1,11
3/30/20,122,2,15
3/31/20,143,2,17
